match,file_name,status_id,text,status_url,transcription
False,1192938088672174080,1192938088672174081,Impresionante cierre de campaña de VOX. Una multitud de 20.000 personas escucha el himno nacional mientras se extiende una gigantesca bandera nacional. #EspañaSiempre #AhoraVOX https://t.co/NZgMH8gUCF,https://twitter.com/Santi_ABASCAL/status/1192938088672174081,aouoooorboo
True,1192921331429511168,1192921331429511168,"MADRID. Cierre de campaña en la Plaza de Colón de #Madrid junto a 20.000 españoles patriotas.  Hoy pedimos el voto también a la izquierda nacional, preocupada con la unidad de España, con la igualdad de los españoles, y con la protección de los más débiles. #EspañaSiempre https://t.co/r82puptBWh",https://twitter.com/Santi_ABASCAL/status/1192921331429511168,pedimos el voto a todos los españoles pero pedimos también el voto a los españoles que siempre amotado a la izquierda y les tendemos la mano diciéndoles que ellos también caben en el proyecto de bos porque sabemos que ellos tenían una preocupación convivir en una nación unida con la defensa de la igualdad y con la protección de los más débiles que es justo todo lo que la izquierda y el partido socialista han abandonado pactando con los separatistas destruyendo la igualdad en todo el territorio nacional con fórmulas federalistas absolutamente loquetidas y abandonando a los españoles más débiles estableciendo en muchas ocasiones que la prioridad es para los extranjeros nosotros decimos esos españoles de izquierdas que bob también tienen su casa que bobs tienen un proyecto político que les da la mano y que queremos precisamente porque en este momento de división lo que más nos preocupan la concordia nacional caminar junto con ellos para crear una gran alternativa patriótica y nacional
False,1192590574802657280,1192590574802657281,¡Bravísima Rocío Monasterio! #EspañaSiempre #MinutoDeOro https://t.co/0X6xnHVIMa,https://twitter.com/Santi_ABASCAL/status/1192590574802657281,asaqgan deel próximo  noviembre tenemos la oportunidad de volver a ampliar d consolidad de la voz de la españa viva en el congreso de los diputados somos muchos los españoles que creemos c aír una alternativa fiable una alternativa cacifrente a los problemas sin complejos con determinación una alternativa que está basada en la unidad y la firmeza frente al separatismo está osurpando los derechos libertales de todos los españoles na alternativa social cacefrenta despifado autonómico alexpone fiscal que sufren las clases medias y populares españolas una alternativa de la sensatez qel sentido común de la defensa de la libertad frente al disparatadas políticas regunos que quieren enfrentarnos las mujeres contra los hombres que quieren dividir a los españoles que uieren de nuestros hijos a banda guerra allí donde nuestros abuelos dijeron la paz en definitiva una alternativa patriótica que traigan la concordia ahí donde hay viscordia que traiga la seguridad haídonde oria y violencia que tregan la esperanza dde oyresimercado  racias viva españa
True,1192580182579789824,1192580182579789824,"VALENCIA. Hoy hemos atravesado España parando en Córdoba y en Albacete para llegar a #Valencia donde nos esperaban miles de personas. Una vez más hemos defendido una política de inmigración ordenada, legal y asimilable, así como la expulsión de los ilegales. #EspañaSiempre https://t.co/aIIKIn7O7q",https://twitter.com/Santi_ABASCAL/status/1192580182579789824,nosotros no rechazamos ni a quienes vienen legalmente a trabajar con nosotros a los que les damos las gracias pero tampoco tenemos ninguna fovia y ningún odio a los que entran i legalmente a los únicamente les decimos que se tienen que ir a quien de verdad tenemos rechazo y lo que nos produce fovia es a los políticos probres están provocando una setuación caótica con el efecto llamada provocando un trama en áfrica una tragedia en el mediterráneo y una horror en muchos de nuestros barrios donde se ha destruido la convivencia y la seguridad ningún tipo de fovial necesitado al inmigrante que desesperado legal o ilegalmente quiere vivir entre nosotros pero todo el rechazoe toda la fovia a esos progres y responsables que están destruyendo nuestra seguridad nuestra prosperidad y que están prometiendo un falso sueño a millones de personas en todo áfrica
False,1192556142741856256,1192556142741856262,Más de 8.000 valencianos nos esperaban hoy en #Valencia para comprometerse con la #EspañaViva ¡GRACIAS por vuestro cariñoso recibimiento! #EspañaSiempre https://t.co/QQRERNX2rH,https://twitter.com/Santi_ABASCAL/status/1192556142741856262,eeeeae
True,1192197281510019072,1192197281510019072,HUELVA. Unas 3.000 personas en un mitin de VOX que ha sido histórico en la ciudad onubense por su gran asistencia. La #EspañaViva está cansada de la gran traición de los progres que nunca miran por los españoles más humildes. #EspañaSiempre https://t.co/sHPWbdtJC6,https://twitter.com/Santi_ABASCAL/status/1192197281510019072,visto el videosa rodríguez hablando de los que denominaba sus niñoquienes son los niños de teresa rodríguez cuando en ese vivio grita como una energúmeda son los menas dice que les decimos menas para no decirlo que son sí lo decimos son menores extranjeros no acompañados que nunca tenían que haber extrado e españa y poncierto desi a esos son nuestros niños y vamos a protegeres vamos a defenderles para defenderles de nosotros no van a defender a las mujeres no van a defender a las niñas porque es que precisamente un día después del debate uno de sus niñs un menor extranjero no acompañado abusa sexualmente de una niña de diez años que por cierto el que abusó ya está en libertad con la orden de no acercarse a la víctima podrá acercarse a otras imaginamos esa es la protección que nos dan las instituciones por decimos aterese rodríguez que si esos son sus niños esas otras son nuestras niña nuestras mujeres nuestros ancianos y todas las personas que lo están pasando mal en españa
True,1192020264256786432,1192020264256786432,DOS HERMANAS. El feudo socialista de Sevilla desbordado por VOX en un mitin histórico. Más de 5.000 personas acudieron a la llamada de la alternativa patriótica de la #EspañaViva #DosHermanas #Sevilla #EspañaSiempre https://t.co/D4GTrAzgcI,https://twitter.com/Santi_ABASCAL/status/1192020264256786432,yo no sé cuál será el resultado las consecuencias de ese debate pero creo que podemos estar muy satisfechos noos voy a decir que fui allí cómo damente y sin ningún tipo de nervio cuando uno afronta las responsabilidad de representaros a todos vosotros con vuestras condicciones con vuestras pasiones como los principios os han enseñado vuestros padres afronta una responsabilidad gigantesa yo alí iba con ese peso en las espaldas epreocupación con nervios pero decir que me sentí comodo me sentí con modo porque vosotros también me dabais mucha seguridad porque estoy convencido de la fortaleza de nuestras condiciones y porque estoy seguro de que hemos sido capaces de decir a los españoles que todo eso que defendemos lo hacemos pos que teremos es lo mejor para españa lo mejor para libertad y lo mejor para los intereses de los españoles
True,1190670913072762880,1190670913072762880,OVIEDO. Repleto el palacio de #Oviedo que otra vez se queda pequeño para los miles de asistentes al acto de VOX en Asturias. Cada día es mayor la ilusión con la #EspañaViva y mayor el hartazgo ante un socialismo que ha traicionado todas las emergencias sociales #EspañaSiempre https://t.co/e2ZnHnbZKA,https://twitter.com/Santi_ABASCAL/status/1190670913072762880,aye estar muy encanallado para buscar esa división para btener portinas de cuando todos los de una manera de otra con cuestros familiares por sotos mismos por nuestros amigos por nuestros recinos estáis vidiendo e conociendo situaciones de verdadera emergencia social nuesravamos a frontar una trisis económica nos va pidia divididos con los opartistas toderes  va pillar enlos fandados en los odios de la gurra civil cuando tenemos un trece porciento demal cuando hay jóvenes después de formarse no pueden encontrar empleo ytímiti se fuera destal cuando y jóvenes que siencuentran trabajo que tienen usarario de migeria que no les permite pensar tener una vivienda y formar una familia ni tenerijos cuando hay autónomos convertidos en recaudadores del estado cuando aún no an conseguido cobrar por los trabajos que ellos se han hecho cuando hay personas dependientes que ven que no les llega la yuda social y sus familias se tienen que acer cargo de ellos mientras ventos que las ayudas sociales si llegan a otroda que no hay emergencias sociales a las que atender desde los poderes públicos
False,1190637980668563456,1190637980668563457,VOX en Asturias. Lleno hasta la bandera en #Oviedo. El público en pie para escuchar nuestro himno nacional.🇪🇸 https://t.co/ZE2q0GAePj,https://twitter.com/Santi_ABASCAL/status/1190637980668563457,asio asebaonterraraateo etatalanomanoon
False,1190619650645733376,1190619650645733377,#VÍDEO #Vox desborda Calatrava en su mitin de #Oviedo https://t.co/hcAHIWovp0,https://twitter.com/Santi_ABASCAL/status/1190619650645733377,ae
